# Babu2013 Figure 4
# Temperature: 873 K
# Strain rate: 1.0e-2 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, 0
#  N, 0
#  C, 0.01
#  H, 0.0082
# Fe, 0.21
#  O, 0.162
# Al, 6.19
#  V, 3.98
# Mn, <0.01
# Si, <0.01
# ----------
Plastic strain, stress (MPa)
0.0, 521.337
0.03359, 611.79
0.066351, 648.649
0.099526, 661.841
0.132702, 665.984
0.165877, 663.167
0.199467, 653.389
0.233057, 643.611
0.266647, 633.833
0.298993, 624.752
0.332583, 614.277
0.366588, 607.979
0.399763, 600.986
0.432939, 595.384
0.466114, 589.783
