# Casem2018 Figure 2b
# Temperature: 295 K
# Strain rate: 22000 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, 0.0
#  N, 0.008
#  C, 0.025
#  H, 0.0
# Fe, 0.151
#  O, 0.176
# Al, 6.28
#  V, 4.16
# Mn, 0
# Si, 0
# ----------
Plastic strain, stress (MPa)
0.0, 1333.63
0.003093, 1382.79
0.005427, 1426.69
0.008522, 1431.96
0.011559, 1440.74
0.014714, 1432.84
0.01781, 1425.81
0.021023, 1419.67
0.024645, 1416.15
0.027975, 1409.13
0.030954, 1403.86
0.034108, 1413.52
0.036852, 1422.3
0.03954, 1412.64
0.04211, 1405.62
0.044974, 1384.55
0.047194, 1372.26
0.04994, 1370.5
0.051283, 1374.89
0.05321, 1383.67
0.056188, 1400.35
0.060334, 1410.89
0.062787, 1416.15
0.066818, 1415.28
0.070673, 1411.76
0.073944, 1408.25
0.07669, 1411.76
0.080252, 1416.15
0.08288, 1426.69
0.08615, 1442.49
0.088603, 1451.27
0.09199, 1461.81
0.094852, 1472.34
0.097246, 1485.51
0.099466, 1486.39
0.102036, 1482.88
0.10443, 1491.66
0.107175, 1505.71
0.109336, 1510.97
0.112256, 1518.88
0.118097, 1519.75
0.120434, 1514.49
0.124464, 1510.97
0.128378, 1498.68
0.132, 1489.03
0.136499, 1480.25
0.140411, 1493.42
0.143448, 1501.32
0.146777, 1510.1
0.149639, 1518.0
0.153552, 1530.29
0.157464, 1546.97
0.159976, 1551.36
0.163013, 1557.51
0.164649, 1552.24
0.168855, 1544.34
0.172943, 1553.99
0.175863, 1561.02
0.178608, 1564.53
