# Casem2018 Figure 2b
# Temperature: 295 K
# Strain rate: 22000 s^-1
# -----------
# Chemistry (weight %)
# Ti, Bal.
#  Y, 0.0
#  N, 0.008
#  C, 0.025
#  H, 0.0
# Fe, 0.151
#  O, 0.176
# Al, 6.28
#  V, 4.16
# Mn, 0
# Si, 0
# ----------
True strain, stress (MPa)
0.004724,118.53
0.005655,181.74
0.006586,244.95
0.007342,302.02
0.007982,356.45
0.008911,436.35
0.009609,495.17
0.010538,596.14
0.011757,727.83
0.012686,815.63
0.013849,906.94
0.014779,983.32
0.015884,1065.85
0.016582,1119.4
0.017922,1182.62
0.019786,1259.88
0.021242,1333.63
0.024335,1382.79
0.026669,1426.69
0.029764,1431.96
0.032801,1440.74
0.035956,1432.84
0.039052,1425.81
0.042265,1419.67
0.045887,1416.15
0.049217,1409.13
0.052196,1403.86
0.05535,1413.52
0.058094,1422.3
0.060782,1412.64
0.063352,1405.62
0.066216,1384.55
0.068436,1372.26
0.071182,1370.5
0.072525,1374.89
0.074452,1383.67
0.07743,1400.35
0.081576,1410.89
0.084029,1416.15
0.08806,1415.28
0.091915,1411.76
0.095186,1408.25
0.097932,1411.76
0.101494,1416.15
0.104122,1426.69
0.107392,1442.49
0.109845,1451.27
0.113232,1461.81
0.116094,1472.34
0.118488,1485.51
0.120708,1486.39
0.123278,1482.88
0.125672,1491.66
0.128417,1505.71
0.130578,1510.97
0.133498,1518.88
0.139339,1519.75
0.141676,1514.49
0.145706,1510.97
0.14962,1498.68
0.153242,1489.03
0.157741,1480.25
0.161653,1493.42
0.16469,1501.32
0.168019,1510.1
0.170881,1518
0.174794,1530.29
0.178706,1546.97
0.181218,1551.36
0.184255,1557.51
0.185891,1552.24
0.190097,1544.34
0.194185,1553.99
0.197105,1561.02
0.19985,1564.53
