# Chen2015 Figure 5e
# Temperature: 773 K
# Strain rate: 7500 s^-1
# -----------
# Chemistry (weight %), min, max
# Ti, Bal.
#  Y,    , 0
#  N,    , 0.05
#  C,    , 0.08
#  H,    , 0.015
# Fe,    , 0.3
#  O,    , 0.2
# Al, 5.5, 6.75
#  V, 3.5, 4.5
# Mn,    , 0
# Si,    , 0
# ----------
Plastic strain, stress (MPa)
0.000235,559.81
0.004345,708.41
0.00963,769.9
0.015267,801.92
0.021022,821.14
0.026659,832.67
0.032468,843.3
0.038386,851.37
0.044305,857.82
0.049928,865.89
0.05555,870.74
0.061617,878.81
0.067387,883.65
0.073454,880.42
0.079077,886.88
0.084995,886.88
0.090766,891.72
0.096684,893.33
0.102603,898.17
0.108374,898.17
0.114292,899.79
0.120063,903.02
0.125982,906.24
0.1319,903.02
0.137874,905.68
0.143145,906.24
0.148916,899.79
0.154835,898.17
0.161362,891.59
