# Seo 2005 Figure 15
# Temperature: 1293 K
# Strain rate: 1400 s^-1
# -----------
# Chemistry (weight %), min, max
# Ti, Bal.
#  Y,    , 0
#  N,    , 0.05
#  C,    , 0.08
#  H,    , 0.015
# Fe,    , 0.3
#  O,    , 0.2
# Al, 5.5, 6.75
#  V, 3.5, 4.5
# Mn,    , 0
# Si,    , 0
# ----------
True strain, stress (MPa)
0,4.54747e-13
0.001143,96.61
0.002122,146.52
0.002576,181.95
0.002987,202.24
0.003399,222.53
0.00381,240.79
0.004427,261.08
0.005044,281.36
0.005661,299.62
0.006689,317.89
0.007717,334.12
0.009362,346.3
0.009568,346.3
0.011624,344.28
0.013475,336.18
0.015326,326.05
0.016765,313.88
0.018411,301.72
0.020261,291.59
0.020878,287.53
0.022524,291.6
0.02458,291.61
0.026225,299.73
0.027048,307.85
0.028282,303.8
0.030132,307.87
0.031778,295.71
0.031983,295.71
0.03404,297.75
0.034657,301.81
0.036713,301.82
0.037947,305.88
0.03877,303.86
0.040209,305.9
0.041443,301.84
0.043499,297.8
0.045556,297.81
0.04679,293.76
0.048024,297.82
0.05008,299.86
0.050697,303.92
0.051725,301.9
0.053782,303.94
0.054399,303.94
0.05481,301.92
0.055838,299.89
0.057072,301.93
0.058923,295.85
0.060774,301.95
0.062007,306.01
0.063653,297.91
0.06427,295.88
0.065503,299.95
0.067149,293.87
0.068999,299.96
0.069411,299.97
0.071262,304.03
0.072084,308.09
0.072907,306.07
0.074963,308.11
0.075374,310.14
0.077225,304.07
0.078253,302.04
0.08031,302.05
0.082161,293.95
0.083806,300.04
0.085862,302.08
0.087302,308.18
0.088947,306.16
0.091003,306.17
0.091209,304.14
0.093266,304.15
0.095322,304.16
0.095528,306.19
0.096967,304.17
0.098818,308.24
0.100874,308.25
0.102931,308.26
0.104987,308.27
0.106838,302.2
0.107044,302.2
0.108278,306.26
0.110128,314.38
0.110745,316.42
0.112596,310.34
0.113213,308.32
0.113624,310.35
0.115681,310.36
0.117326,304.28
0.119383,304.29
0.120822,302.27
0.122879,306.34
0.123084,306.34
0.125141,304.32
0.127197,304.33
0.128431,300.28
0.130487,304.35
0.131104,306.38
0.133161,310.45
0.133366,310.45
0.135423,310.46
0.137479,310.47
0.138713,314.54
0.140153,306.43
0.141387,308.47
0.143443,308.48
0.144883,314.57
0.145705,312.55
0.146733,310.52
0.14879,306.48
0.150846,304.46
0.151463,300.41
0.15352,304.47
0.154137,306.51
0.155782,310.57
0.157633,312.61
0.159689,308.56
0.160923,304.51
0.161951,306.55
0.163802,302.5
0.165241,300.48
0.166475,304.54
0.167092,306.58
0.167504,304.55
0.169149,310.64
0.170383,306.59
0.171822,308.63
0.173056,306.61
0.173879,304.58
0.175729,298.51
0.175935,298.51
0.177786,304.6
0.179225,308.67
0.181282,308.68
0.183338,308.69
0.184366,304.64
0.186217,310.74
0.187246,308.71
0.188891,310.75
0.190536,306.7
0.192592,308.74
0.193415,308.75
0.193826,306.72
0.194649,304.7
0.195883,306.73
0.196911,308.76
0.198145,304.71
0.200201,306.75
0.201024,308.79
0.202258,306.76
0.203903,304.75
0.204725,302.72
0.205548,300.7
0.206371,302.73
0.208016,306.8
0.210072,306.81
0.210895,308.84
0.2111,306.81
0.21254,308.85
0.213363,310.88
0.215213,306.83
0.21583,304.81
0.217475,306.85
0.218298,308.88
0.219326,306.86
0.221383,306.87
0.221588,304.84
0.222617,300.79
0.223233,298.76
0.223645,300.79
0.225084,308.92
0.225701,310.95
0.227758,310.96
0.229814,310.97
0.23002,308.94
0.230637,306.92
0.232282,308.95
0.233104,310.99
0.23475,308.97
0.235161,306.94
0.236395,304.92
0.237217,302.9
0.239274,302.91
0.239685,304.94
0.240919,306.97
0.242975,304.95
0.243181,302.93
0.243798,298.87
0.244826,294.82
0.246677,296.86
0.247911,300.92
0.248322,302.95
0.249967,294.85
0.250584,290.8
0.251201,288.77
0.252024,284.72
0.252846,282.69
0.253875,284.73
0.254697,286.76
0.255725,284.74
0.256342,282.71
0.256959,280.69
0.257782,278.66
0.258604,272.58
0.259427,266.5
