# theta,p,s0,sInf,kappa,gamma,y0,yInf
7.126782097581327476e-04,2.936359475318122136e+00,3.966853173740810673e-02,2.563807258549037627e-02,3.127060580195190620e-01,4.981794511955258759e-05,2.172551608055777600e-02,3.248339383057317897e-03
7.305292707870586271e-04,3.296559514732628315e+00,3.191660644184970280e-02,2.299560957251818930e-02,3.031993567422998637e-01,4.525746150286949992e-05,2.153113267929070498e-02,2.984872097113797865e-03
4.432104318166052936e-04,2.974443739722589353e+00,2.954014881469996245e-02,2.333787050188622370e-02,2.833652430172005077e-01,4.022341633136243544e-05,2.389347885254595322e-02,3.404780846241461933e-03
6.413147848507719717e-04,2.830575346286209548e+00,3.069770382817659654e-02,1.824259108676555552e-02,2.780953836488637698e-01,6.197669977274570781e-05,1.824863558538837582e-02,3.103558378541806592e-03
3.642377826624376290e-04,2.763478090817745869e+00,4.101676536389316924e-02,2.499648762876079816e-02,3.470001454298359267e-01,4.860419858139640068e-05,2.547702902831663202e-02,2.997691311126357994e-03
6.338706503998235448e-04,2.237671748094527402e+00,2.926686962159360736e-02,2.571190605594516829e-02,3.323136328307762510e-01,5.388654859230576356e-05,2.138959845474134799e-02,3.137110903229058199e-03
3.666171463969481294e-04,2.767505883838401903e+00,3.518930220367469386e-02,1.937359583349812509e-02,3.248544814006070203e-01,4.994223081836791548e-05,2.281128179791477514e-02,2.631274115674427354e-03
5.045997614486176985e-04,2.799585339545755058e+00,3.585689308713226747e-02,2.449877658154556159e-02,3.286419001847634691e-01,5.880008502519222893e-05,2.094759077389308360e-02,3.194276267578319978e-03
8.509312106870572934e-04,2.193686546669326720e+00,3.638867100060316079e-02,2.512294234798565992e-02,2.940302445011664378e-01,5.758840223590516532e-05,2.727313499199032765e-02,3.238788384275829730e-03
5.331565817541210209e-04,2.669257720821697877e+00,3.061162685551957127e-02,2.414307572972991187e-02,2.531058526647873563e-01,4.159755524674997411e-05,2.551995872203740440e-02,3.243192066100509391e-03
4.089302522128542830e-04,2.327068016584057819e+00,3.277093848167803025e-02,1.564668744397691366e-02,2.935889552302490269e-01,4.809714405574591254e-05,2.017483182534202807e-02,2.700192858958581042e-03
7.047969511255561823e-04,2.511562361936760635e+00,3.487508430578432905e-02,2.410868754107513973e-02,3.656684757984965950e-01,4.974872609558603979e-05,2.768504533511443114e-02,3.039503994496862722e-03
9.237652507180389976e-04,2.637916543272594172e+00,3.414612586946118300e-02,2.254504660621716242e-02,3.403304707343935975e-01,5.864614940740514278e-05,3.195649853649423777e-02,3.140984437705153683e-03
7.087390382820526634e-04,2.170892650075515462e+00,3.216672166627297658e-02,2.892071332512703014e-02,2.792228880337191410e-01,3.659959925284598056e-05,2.823136975512542321e-02,2.814739706869563880e-03
5.010566996167503239e-04,3.238951764312961057e+00,3.039540959658177180e-02,2.645619773953753612e-02,2.285255141013633196e-01,4.909684776551075845e-05,1.500495420225147515e-02,2.733196946189503287e-03
1.265936449280837634e-03,2.748902288745632028e+00,3.373791526985171069e-02,2.199175930688620009e-02,2.267446336305193599e-01,5.102402442310057743e-05,1.845589233566298851e-02,3.024642927719272626e-03
5.492768972976809451e-04,2.883857641742433309e+00,3.503354100518826092e-02,2.073488261952163153e-02,2.379180093794876494e-01,3.931844087945337955e-05,2.259405887793317080e-02,2.799417292887981020e-03
9.434371704180412104e-04,2.266285291433220106e+00,3.437535165337725351e-02,2.001695495538200267e-02,3.033347637967824251e-01,5.928249683276242354e-05,2.109518975830455487e-02,2.772804656137891222e-03
